,species,mean_ripeness,sd_ripeness,formatted_ripeness_date,60_day_ripeness_end,30_day_ripeness_end,gaussian_ripeness_start,gaussian_ripeness_end,formatted_60_day_ripeness_end,formatted_30_day_ripeness_end,formatted_gaussian_ripeness_start,formatted_gaussian_ripeness_end
0,Rubus occidentalis,186.2,9.4,07-05,246.2,216.2,167.4,205.0,09-03,08-04,06-16,07-24
1,Ficus carica,206.8,13.1,07-25,266.8,236.8,180.6,233.0,09-23,08-24,06-29,08-21
2,Olea europaea,197.9,15.5,07-16,257.9,227.9,166.9,228.9,09-14,08-15,06-15,08-16
3,Olea europea,300.5,11.8,10-27,360.5,330.5,276.9,324.1,12-26,11-26,10-03,11-20
4,Morus rubra,185.6,8.7,07-04,245.6,215.6,168.2,203.0,09-02,08-03,06-17,07-22
5,Morus alba,184.3,6.3,07-03,244.3,214.3,171.7,196.9,09-01,08-02,06-20,07-15
6,Morus nigra,185.8,8.8,07-04,245.8,215.8,168.2,203.4,09-02,08-03,06-17,07-22
7,Amelanchier alnifolia,209.4,11.0,07-28,269.4,239.4,187.4,231.4,09-26,08-27,07-06,08-19
8,Amelanchier arborea,172.7,14.2,06-21,232.7,202.7,144.3,201.1,08-20,07-21,05-24,07-20
9,Amelanchier canadensis,202.2,15.0,07-21,262.2,232.2,172.2,232.2,09-19,08-20,06-21,08-20
10,Amelanchier grandiflora-autumnbrilliance,183.0,0.0,07-02,243.0,213.0,183.0,183.0,08-31,08-01,07-02,07-02
11,Amelanchier laevis,176.0,12.7,06-25,236.0,206.0,150.6,201.4,08-24,07-25,05-30,07-20
12,Citrus x limon,183.9,5.3,07-02,243.9,213.9,173.3,194.5,08-31,08-01,06-22,07-13
13,Citrus x meyeri,206.2,13.4,07-25,266.2,236.2,179.4,233.0,09-23,08-24,06-28,08-21
14,Rubus idaeus,214.0,0.0,08-02,274.0,244.0,214.0,214.0,10-01,09-01,08-02,08-02
15,Rubus phoenicolasius,183.0,0.0,07-02,243.0,213.0,183.0,183.0,08-31,08-01,07-02,07-02
16,Citrus x aurantium,158.0,11.2,06-07,218.0,188.0,135.6,180.4,08-06,07-07,05-15,06-29
17,Citrus x sinensis,187.8,11.2,07-06,247.8,217.8,165.4,210.2,09-04,08-05,06-14,07-29
18,Prunus americana,228.1,15.4,08-16,288.1,258.1,197.3,258.9,10-15,09-15,07-16,09-15
19,Prunus domestica,244.7,3.1,09-01,304.7,274.7,238.5,250.9,10-31,10-01,08-26,09-07
20,Prunus maritima,245.0,0.0,09-02,305.0,275.0,245.0,245.0,11-01,10-02,09-02,09-02
21,Prunus domestica (early cultivar),244.1,5.1,09-01,304.1,274.1,233.9,254.3,10-31,10-01,08-21,09-11
22,Prunus domestica (late cultivar),241.7,9.6,08-29,301.7,271.7,222.5,260.9,10-28,09-28,08-10,09-17
