,year,doy,species,latitude,site_id,species_actual,phenophase
1275,2012,238,Malus,47.2708,101,domestica,516
1276,2012,269,Malus,47.8997,102,domestica,516
1277,2013,232,Malus,48.1914,103,domestica,516
1278,2013,268,Malus,47.8997,102,domestica,516
1331,2010,253,Malus,47.7833,108,domestica,516
1332,2012,264,Malus,47.7833,108,domestica,516
1384,2010,272,Malus,47.9667,110,domestica,516
1476,2010,213,Malus,47.1667,122,domestica,516
1581,2010,235,Malus,47.75,135,domestica,516
1582,2011,224,Malus,47.75,135,domestica,516
1583,2012,226,Malus,47.75,135,domestica,516
1605,2010,245,Malus,46.7,137,domestica,516
1678,2012,238,Malus,47.2708,101,domestica 'Cox Orange Renette',516
1679,2012,269,Malus,47.8997,102,domestica 'Cox Orange Renette',516
1680,2013,232,Malus,48.1914,103,domestica 'Cox Orange Renette',516
1681,2013,268,Malus,47.8997,102,domestica 'Cox Orange Renette',516
1734,2010,253,Malus,47.7833,108,domestica 'early cultivar',516
1735,2012,264,Malus,47.7833,108,domestica 'early cultivar',516
1787,2010,272,Malus,47.9667,110,domestica 'early cultivar',516
1879,2010,213,Malus,47.1667,122,domestica 'early cultivar',516
1984,2010,235,Malus,47.75,135,domestica 'early cultivar',516
1985,2011,224,Malus,47.75,135,domestica 'early cultivar',516
1986,2012,226,Malus,47.75,135,domestica 'early cultivar',516
2008,2010,245,Malus,46.7,137,domestica 'early cultivar',516
2102,2012,256,Malus,47.1333,149,domestica 'early cultivar',516
2128,2010,285,Malus,48.3,153,domestica 'early cultivar',516
2255,2010,222,Malus,47.4833,163,domestica 'early cultivar',516
2256,2011,214,Malus,47.4833,163,domestica 'early cultivar',516
2272,2010,207,Malus,48.3333,164,domestica 'early cultivar',516
2273,2011,206,Malus,48.3333,164,domestica 'early cultivar',516
2516,2011,278,Malus,46.7333,193,domestica 'early cultivar',516
2517,2012,279,Malus,46.7333,193,domestica 'early cultivar',516
2587,2011,263,Malus,47.1333,198,domestica 'early cultivar',516
2630,2010,271,Malus,46.7167,203,domestica 'early cultivar',516
2631,2011,255,Malus,46.7167,203,domestica 'early cultivar',516
2632,2012,264,Malus,46.7167,203,domestica 'early cultivar',516
2673,2010,263,Malus,47.4,206,domestica 'early cultivar',516
2674,2012,252,Malus,47.4,206,domestica 'early cultivar',516
2725,2010,253,Malus,46.7167,212,domestica 'early cultivar',516
2726,2011,248,Malus,46.7167,212,domestica 'early cultivar',516
2727,2012,247,Malus,46.7167,212,domestica 'early cultivar',516
2749,2010,217,Malus,48.45,213,domestica 'early cultivar',516
2908,2012,254,Malus,47.4167,226,domestica 'early cultivar',516
2957,2010,288,Malus,48.35,234,domestica 'early cultivar',516
2958,2011,290,Malus,48.35,234,domestica 'early cultivar',516
2959,2012,286,Malus,48.35,234,domestica 'early cultivar',516
3015,2012,282,Malus,46.75,241,domestica 'early cultivar',516
3027,2010,283,Malus,47.2333,243,domestica 'early cultivar',516
3028,2011,283,Malus,47.2333,243,domestica 'early cultivar',516
3029,2012,304,Malus,47.2333,243,domestica 'early cultivar',516
3039,2011,236,Malus,46.8333,246,domestica 'early cultivar',516
