site_id,eventRemarks,YEAR,DAY,LON,LAT,genus,specificEpithet
20450,Ripe fruits,1952,314,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1953,270,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1958,313,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1959,309,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1961,312,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1962,318,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1964,317,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1966,285,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1968,304,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1969,313,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1970,321,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1972,315,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1974,318,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1976,289,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1978,308,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1979,292,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1988,334,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1989,324,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,1993,313,19.0833,42.1,Citrus,aurantium
20450,Ripe fruits,2011,303,19.0833,42.1,Citrus,aurantium
20450,Harvest,1952,354,19.0833,42.1,Citrus,aurantium
20450,Harvest,1953,331,19.0833,42.1,Citrus,aurantium
20450,Harvest,1958,328,19.0833,42.1,Citrus,aurantium
20450,Harvest,1961,349,19.0833,42.1,Citrus,aurantium
20450,Harvest,1962,332,19.0833,42.1,Citrus,aurantium
20450,Harvest,1966,313,19.0833,42.1,Citrus,aurantium
20450,Harvest,1968,310,19.0833,42.1,Citrus,aurantium
20450,Harvest,1969,316,19.0833,42.1,Citrus,aurantium
20450,Harvest,1970,325,19.0833,42.1,Citrus,aurantium
20450,Harvest,1972,318,19.0833,42.1,Citrus,aurantium
20450,Harvest,1973,321,19.0833,42.1,Citrus,aurantium
20450,Harvest,1974,327,19.0833,42.1,Citrus,aurantium
20450,Harvest,1976,294,19.0833,42.1,Citrus,aurantium
20450,Harvest,1978,334,19.0833,42.1,Citrus,aurantium
20450,Harvest,1979,328,19.0833,42.1,Citrus,aurantium
20450,Harvest,1981,276,19.0833,42.1,Citrus,aurantium
20450,Harvest,1988,355,19.0833,42.1,Citrus,aurantium
20450,Harvest,1989,348,19.0833,42.1,Citrus,aurantium
20450,Harvest,1993,323,19.0833,42.1,Citrus,aurantium
20450,Harvest,2011,342,19.0833,42.1,Citrus,aurantium
20386,Ripe fruits,2013,316,3.14494,42.3091,Citrus,sinensis
20392,Ripe fruits,2013,297,1.84471,41.3519,Citrus,sinensis
20402,Ripe fruits,2013,338,3.13077,42.0426,Citrus,sinensis
20407,Ripe fruits,2013,278,2.04738,41.3831,Citrus,sinensis
20411,Ripe fruits,2013,305,1.60442,41.2682,Citrus,sinensis
20424,Ripe fruits,2013,284,2.39024,41.5039,Citrus,sinensis
1762847,ripe fruit,2020,77,-117.066323,33.123028,Citrus,
1764603,ripe fruit,2020,139,174.756136,-36.871935,Citrus,
1762848,ripe fruit,2020,66,-82.089087,29.588057,Citrus,
1763314,ripe fruit,2009,20,-121.745595,38.54956,Citrus,
1764250,ripe fruit,2020,119,-121.7673433,37.67667209,Citrus,
1766940,ripe fruit,2020,204,-118.478139,34.257243,Citrus,
1768121,ripe fruit,2020,238,144.9821383,-37.7839218,Citrus,
1768120,ripe fruit,2020,238,144.9821383,-37.7839218,Citrus,
1768182,ripe fruit,2020,240,144.9748125,-37.7873214,Citrus,
1770189,ripe fruit,2020,286,-8.647819,40.631706,Citrus,
