site_id,LAT,LON,eventRemarks,genus,specificEpithet,DAY,YEAR
1762706,27.753815,-82.705272,ripe fruit,Eriobotrya,japonica,63,2020
1764405,37.41077929,-121.881323,ripe fruit,Eriobotrya,japonica 'Champagne',126,2020
1764413,37.5576856,-122.3137369,ripe fruit,Eriobotrya,japonica 'Bradenton',127,2020
1761704,-37.9839021,145.0245451,ripe fruit,Eriobotrya,japonica,315,2019
1761747,-37.708016,144.977938,ripe fruit,Eriobotrya,japonica,320,2019
1761966,-37.707562,144.978947,ripe fruit,Eriobotrya,japonica,332,2019
1762609,27.91854167,-82.50823179,ripe fruit,Eriobotrya,japonica,64,2023
1762918,28.525892,-81.460744,ripe fruit,Eriobotrya,japonica,57,2020
1762976,29.8196835,-95.02432649,ripe fruit,Eriobotrya,japonica 'Champagne',88,2020
1763053,30.31492175,-97.71703226,ripe fruit,Eriobotrya,japonica,94,2020
1763070,29.935396,-90.085719,ripe fruit,Eriobotrya,japonica,96,2020
1763103,34.422667,-119.651579,ripe fruit,Eriobotrya,japonica,99,2020
1763152,32.788213,-79.904787,ripe fruit,Eriobotrya,japonica,102,2020
1763155,32.792636,-79.902975,ripe fruit,Eriobotrya,japonica,102,2020
1763309,30.355901,-97.737063,ripe fruit,Eriobotrya,japonica,116,2020
1763309,30.355901,-97.737063,ripe fruit,Eriobotrya,japonica,106,2020
1763310,30.355804,-97.737175,ripe fruit,Eriobotrya,japonica,106,2020
1763311,30.35585,-97.737275,ripe fruit,Eriobotrya,japonica,106,2020
1763312,30.355593,-97.737764,ripe fruit,Eriobotrya,japonica,106,2020
1763312,30.355593,-97.737764,ripe fruit,Eriobotrya,japonica,106,2020
1763333,32.750304,-117.144986,ripe fruit,Eriobotrya,japonica,109,2020
1763338,30.42364,-91.183717,ripe fruit,Eriobotrya,japonica,105,2020
1763345,30.27381423,-97.68949739,ripe fruit,Eriobotrya,japonica,110,2020
1763358,30.48937563,-84.24153729,ripe fruit,Eriobotrya,japonica,112,2020
1763371,37.308779,-121.75678,ripe fruit,Eriobotrya,japonica,112,2020
1763415,30.396057,-97.693335,ripe fruit,Eriobotrya,japonica,113,2020
1764229,38.7579806,-9.3371163,ripe fruit,Eriobotrya,japonica 'Bradenton',118,2020
1764289,37.442816,-122.165499,ripe fruit,Eriobotrya,japonica,116,2020
1764369,37.56589279,-122.3033407,ripe fruit,Eriobotrya,japonica 'Bradenton',124,2020
1764370,37.56589279,-122.3033407,ripe fruit,Eriobotrya,japonica 'Bradenton',124,2020
1764378,33.865429,-118.079674,ripe fruit,Eriobotrya,japonica,123,2020
1764388,37.410524,-121.880274,ripe fruit,Eriobotrya,japonica,125,2020
1766966,37.829907,-122.210913,ripe fruit,Eriobotrya,japonica,170,2020
1767741,-33.902646,151.177073,ripe fruit,Eriobotrya,japonica,230,2020
1771711,19.293666,-99.163855,ripe fruit,Eriobotrya,japonica,350,2020
1770736,-36.903853,174.755391,ripe fruit,Eriobotrya,japonica,300,2020
1762968,29.81964264,-95.04272533,ripe fruit,Eriobotrya,japonica 'Champagne',88,2020
1764393,37.408381,-121.883876,ripe fruit,Eriobotrya,japonica,125,2020
1765742,44.922668,4.894779,ripe fruit,Eriobotrya,japonica,170,2020
1765985,37.831187,-122.260323,ripe fruit,Eriobotrya,japonica,175,2020
1766233,51.48018297,-0.08537474,ripe fruit,Eriobotrya,japonica,183,2020
1773373,32.770713,-117.050368,ripe fruit,Eriobotrya,japonica,130,2021
1773418,32.837951,-79.872799,ripe fruit,Eriobotrya,japonica,121,2021
1774169,37.847299,-122.260022,ripe fruit,Eriobotrya,japonica,164,2021
1775913,41.0095,29.015568,ripe fruit,Eriobotrya,japonica,218,2021
1771237,-35.171036,149.12676,ripe fruit,Eriobotrya,japonica,336,2020
1771618,19.281847,-99.191807,ripe fruit,Eriobotrya,japonica,347,2020
1772734,28.248228,-82.716408,ripe fruit,Eriobotrya,japonica,84,2021
1772947,34.428579,-119.703556,ripe fruit,Eriobotrya,japonica,96,2021
1772972,29.166731,-82.179167,ripe fruit,Eriobotrya,japonica,76,2021
1773080,32.07650641,-81.09319943,ripe fruit,Eriobotrya,japonica 'Champagne',110,2021
1774741,38.029687,-122.576244,ripe fruit,Eriobotrya,japonica,161,2021
1764510,34.302381,-119.288416,ripe fruit,Eriobotrya,japonica,130,2020
1764583,39.732083,-121.835116,ripe fruit,Eriobotrya,japonica,127,2020
1764575,29.659379,-82.3809,ripe fruit,Eriobotrya,japonica,75,2020
1764659,37.318666,-121.833527,ripe fruit,Eriobotrya,japonica,135,2020
1764749,39.742066,-121.853033,ripe fruit,Eriobotrya,japonica,143,2020
1764754,37.82369186,-122.2511597,ripe fruit,Eriobotrya,japonica,144,2020
1764926,37.81328478,-122.2449646,ripe fruit,Eriobotrya,japonica,150,2020
1764928,37.81345444,-122.2449081,ripe fruit,Eriobotrya,japonica,150,2020
1764929,37.8135161,-122.2452835,ripe fruit,Eriobotrya,japonica,150,2020
1764932,37.81355863,-122.245384,ripe fruit,Eriobotrya,japonica,150,2020
1765145,37.428541,-122.152135,ripe fruit,Eriobotrya,japonica,153,2020
1765189,37.19681,-3.603113,ripe fruit,Eriobotrya,japonica,155,2020
1765190,37.196807,-3.602559,ripe fruit,Eriobotrya,japonica,155,2020
1765191,37.198246,-3.601,ripe fruit,Eriobotrya,japonica,154,2020
1765201,37.199046,-3.601465,ripe fruit,Eriobotrya,japonica,155,2020
1765344,37.844512,-122.265945,ripe fruit,Eriobotrya,japonica,160,2020
1806689,-37.77660437,144.9556883,ripe fruit,Eriobotrya,japonica,290,2021
1807310,-37.81393208,145.0441007,ripe fruit,Eriobotrya,japonica,329,2021
1809606,27.800757,-82.655742,ripe fruit,Eriobotrya,japonica,60,2021
1722262,37.882073,-122.265079,ripe fruit,Eriobotrya,japonica,216,2018
1722262,37.882073,-122.265079,ripe fruit,Eriobotrya,japonica,209,2018
1809890,35.12234035,-120.6168272,ripe fruit,Eriobotrya,japonica 'Bradenton',134,2022
1809947,32.074261,34.810256,ripe fruit,Eriobotrya,japonica,138,2022
1806287,-33.901327,151.1662,ripe fruit,Eriobotrya,japonica,278,2021
1808559,28.49075,-81.510584,ripe fruit,Eriobotrya,japonica,69,2022
1808619,28.01314024,-82.56337462,ripe fruit,Eriobotrya,japonica,73,2022
1808579,28.59944795,-81.20122852,ripe fruit,Eriobotrya,japonica 'Bradenton',72,2022
1808578,28.60377742,-81.20480576,ripe fruit,Eriobotrya,japonica 'Bradenton',72,2022
1808620,28.04333631,-82.40685355,ripe fruit,Eriobotrya,japonica,73,2022
1808622,28.04223546,-82.3990325,ripe fruit,Eriobotrya,japonica,73,2022
1808623,28.0434421,-82.39903642,ripe fruit,Eriobotrya,japonica,73,2022
1808624,28.0442866,-82.39921679,ripe fruit,Eriobotrya,japonica,73,2022
1808628,28.02889178,-82.56638421,ripe fruit,Eriobotrya,japonica,73,2022
1808631,28.04417001,-82.40982412,ripe fruit,Eriobotrya,japonica,73,2022
1808639,34.04954686,-118.4330851,ripe fruit,Eriobotrya,japonica,74,2022
1808721,28.56788519,-81.43152291,ripe fruit,Eriobotrya,japonica,78,2022
1808722,28.46117559,-81.46396816,ripe fruit,Eriobotrya,japonica,78,2022
1809064,29.919055,-90.113997,ripe fruit,Eriobotrya,japonica,96,2022
1809101,30.69698851,-88.18076028,ripe fruit,Eriobotrya,japonica,97,2022
1809190,30.36161036,-87.33976978,ripe fruit,Eriobotrya,japonica,100,2022
1809416,34.111353,-118.175218,ripe fruit,Eriobotrya,japonica,107,2022
1809281,34.080989,-118.272938,ripe fruit,Eriobotrya,japonica,101,2022
1810829,45.386626,11.867513,ripe fruit,Eriobotrya,japonica,171,2022
1813876,-37.7359169,144.963105,ripe fruit,Eriobotrya,japonica,223,2022
1813875,-37.73784109,144.9633976,ripe fruit,Eriobotrya,japonica,84,2023
1813881,-37.72931853,144.9626541,ripe fruit,Eriobotrya,japonica,223,2022
1823026,33.92229438,-118.406917,ripe fruit,Eriobotrya,japonica,289,2022
1823253,-33.795839,151.130239,ripe fruit,Eriobotrya,japonica,300,2022
1720938,37.22220226,-121.861445,ripe fruit,Eriobotrya,japonica,147,2018
1720367,34.254772,-119.196897,ripe fruit,Eriobotrya,japonica,92,2018
1720366,34.2697,-119.1836,ripe fruit,Eriobotrya,japonica,91,2018
1720366,34.2697,-119.1836,ripe fruit,Eriobotrya,japonica,91,2018
1823958,-37.69733037,144.9643509,ripe fruit,Eriobotrya,japonica,336,2022
1823701,-35.00433487,117.8551276,ripe fruit,Eriobotrya,japonica,320,2022
1720510,37.57477685,-122.3393278,ripe fruit,Eriobotrya,japonica,110,2018
1720511,37.57150655,-122.3351343,ripe fruit,Eriobotrya,japonica,110,2018
1823862,-35.00306456,117.881463,ripe fruit,Eriobotrya,japonica,331,2022
1719574,-35.3552253,149.2232518,ripe fruit,Eriobotrya,japonica,342,2017
1720110,38.64173,-0.10819,ripe fruit,Eriobotrya,japonica,120,2017
1720149,28.692597,-81.386206,ripe fruit,Eriobotrya,japonica,60,2018
1720183,32.74517766,-117.132283,ripe fruit,Eriobotrya,japonica,67,2018
1720196,34.2704,-119.2333,ripe fruit,Eriobotrya,japonica,70,2018
1720232,37.819849,-122.279917,ripe fruit,Eriobotrya,japonica,77,2018
1720303,34.281176,-119.162562,ripe fruit,Eriobotrya,japonica,85,2018
1720323,34.277889,-119.216428,ripe fruit,Eriobotrya,japonica,87,2018
1720331,29.627106,-82.361391,ripe fruit,Eriobotrya,japonica,90,2018
