site_id,eventRemarks,YEAR,DAY,LON,LAT,genus,specificEpithet
20450,Ripe fruits,1952,320,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1959,326,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1962,321,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1966,304,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1970,318,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1978,309,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1979,297,19.0833,42.1,Citrus,Limon
20450,Harvest,1952,353,19.0833,42.1,Citrus,Limon
20450,Harvest,1959,330,19.0833,42.1,Citrus,Limon
20450,Harvest,1962,328,19.0833,42.1,Citrus,Limon
20450,Harvest,1966,306,19.0833,42.1,Citrus,Limon
20450,Harvest,1970,323,19.0833,42.1,Citrus,Limon
20450,Harvest,1972,315,19.0833,42.1,Citrus,Limon
20450,Harvest,1978,347,19.0833,42.1,Citrus,Limon
20450,Harvest,1979,328,19.0833,42.1,Citrus,Limon
20450,Harvest,1985,318,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1952,320,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1953,323,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1958,324,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1973,272,19.0833,42.1,Citrus,Limon
20450,Ripe fruits,1974,316,19.0833,42.1,Citrus,Limon
20450,Harvest,1952,355,19.0833,42.1,Citrus,Limon
20450,Harvest,1953,363,19.0833,42.1,Citrus,Limon
20450,Harvest,1958,331,19.0833,42.1,Citrus,Limon
20450,Harvest,1974,318,19.0833,42.1,Citrus,Limon
1762847,ripe fruit,2020,77,-117.066323,33.123028,Citrus,
1763367,ripe fruit,2020,61,-121.759548,37.309177,Citrus,
1764288,ripe fruit,2020,121,-121.7737775,37.6747718,Citrus,
1766939,ripe fruit,2020,204,-118.482232,34.250949,Citrus,
1767829,ripe fruit,2020,231,144.9772747,-37.780873,Citrus,
1767827,ripe fruit,2020,231,144.9772747,-37.780873,Citrus,
1767828,ripe fruit,2020,231,144.9772747,-37.780873,Citrus,
1767831,ripe fruit,2020,309,144.9757617,-37.789789,Citrus,
1767831,ripe fruit,2020,231,144.9757617,-37.789789,Citrus,
1767943,ripe fruit,2021,77,144.9760238,-37.78263794,Citrus,
1767937,ripe fruit,2021,77,144.9765655,-37.7802306,Citrus,
1767937,ripe fruit,2020,233,144.9765655,-37.7802306,Citrus,
1768031,ripe fruit,2020,235,144.9808825,-37.78104779,Citrus,
1768034,ripe fruit,2020,235,144.9802427,-37.78093933,Citrus,
1768035,ripe fruit,2020,235,144.9799849,-37.78105875,Citrus,
1768036,ripe fruit,2020,235,144.9799849,-37.78105875,Citrus,
1768121,ripe fruit,2020,238,144.9821383,-37.7839218,Citrus,
1768126,ripe fruit,2020,238,144.9818684,-37.7837284,Citrus,
1768128,ripe fruit,2020,238,144.9819006,-37.7834728,Citrus,
1768120,ripe fruit,2020,238,144.9821383,-37.7839218,Citrus,
1768170,ripe fruit,2021,97,144.975696,-37.7818229,Citrus,
1768170,ripe fruit,2021,83,144.975696,-37.7818229,Citrus,
1768420,ripe fruit,2021,98,144.9745874,-37.7871318,Citrus,
1768420,ripe fruit,2021,98,144.9745874,-37.7871318,Citrus,
1768420,ripe fruit,2020,244,144.9745874,-37.7871318,Citrus,
