DAY,YEAR,genus,specificEpithet,eventRemarks,LAT,LON,site_id
253,2009,Diospyros,virginiana,Ripe fruits,28.045185,-82.7063,1
317,2021,Diospyros,virginiana,Ripe fruits,39.027634,-76.796936,2
271,2020,Diospyros,virginiana,Ripe fruits,39.027935,-76.79784,3
264,2020,Diospyros,virginiana,Ripe fruits,39.027935,-76.79784,3
313,2016,Diospyros,virginiana,Ripe fruits,31.966148,-95.28089,4
297,2013,Diospyros,virginiana,Ripe fruits,40.86668,-73.87873,5
283,2013,Diospyros,virginiana,Ripe fruits,40.86668,-73.87873,5
283,2013,Diospyros,virginiana,Ripe fruits,40.865597,-73.87921,6
318,2013,Diospyros,virginiana,Ripe fruits,40.865597,-73.87921,6
318,2013,Diospyros,virginiana,Ripe fruits,40.86668,-73.87873,5
306,2013,Diospyros,virginiana,Ripe fruits,40.86668,-73.87873,5
306,2013,Diospyros,virginiana,Ripe fruits,40.865597,-73.87921,6
290,2013,Diospyros,virginiana,Ripe fruits,40.865597,-73.87921,6
297,2013,Diospyros,virginiana,Ripe fruits,40.865597,-73.87921,6
290,2013,Diospyros,virginiana,Ripe fruits,40.86668,-73.87873,5
289,2020,Diospyros,virginiana,Ripe fruits,35.80196,-78.894875,7
288,2020,Diospyros,virginiana,Ripe fruits,35.80196,-78.894875,7
312,2022,Diospyros,virginiana,Ripe fruits,39.910755,-86.42419,8
301,2022,Diospyros,virginiana,Ripe fruits,39.910755,-86.42419,8
291,2022,Diospyros,virginiana,Ripe fruits,39.910755,-86.42419,8
254,2022,Diospyros,virginiana,Ripe fruits,30.05377,-89.880486,9
254,2022,Diospyros,virginiana,Ripe fruits,30.05377,-89.880486,9
255,2022,Diospyros,virginiana,Ripe fruits,30.05377,-89.880486,9
248,2020,Diospyros,virginiana,Ripe fruits,30.05377,-89.880486,9
286,2020,Diospyros,virginiana,Ripe fruits,35.904995,-78.80415,10
333,2015,Diospyros,virginiana,Ripe fruits,35.14772,-79.36941,11
