site_id,LAT,LON,eventRemarks,DAY,YEAR,genus,specificEpithet
1766679,43.680695,-79.382719,ripe fruit,198,2020,Rubus,
1767585,43.115834,-80.433526,ripe fruit,206,2020,Rubus,
1765950,39.978432,-83.058651,ripe fruit,173,2020,Rubus,
1766160,40.431277,-79.914018,ripe fruit,202,2020,Rubus,
1766160,40.431277,-79.914018,ripe fruit,181,2020,Rubus,
1766425,43.21011023,-70.8719053,ripe fruit,189,2020,Rubus,
1766327,41.09278008,-73.94858015,ripe fruit,187,2020,Rubus,
1766576,43.679508,-79.374892,ripe fruit,195,2020,Rubus,
1766581,42.437481,-71.343966,ripe fruit,194,2020,Rubus,
1766582,42.437448,-71.343952,ripe fruit,194,2020,Rubus,
1766579,42.437525,-71.343979,ripe fruit,194,2020,Rubus,
1773284,32.424036,-81.782452,ripe fruit,123,2021,Rubus,
1775689,38.798187,-78.17955,ripe fruit,184,2021,Rubus,
1772089,46.979916,-1.311161,ripe fruit,12,2021,Rubus,
1774653,40.54339,-79.9191433,ripe fruit,184,2021,Rubus,
1774686,40.347301,-80.159363,ripe fruit,185,2021,Rubus,
1774690,40.348243,-80.162624,ripe fruit,184,2021,Rubus,
1774984,42.085337,-91.672759,ripe fruit,184,2021,Rubus,
1721823,43.436547,-80.481268,ripe fruit,189,2018,Rubus,
1812903,42.000443,-91.650368,ripe fruit,183,2022,Rubus,
1812992,43.123822,-77.577931,ripe fruit,181,2022,Rubus,
1812992,43.123822,-77.577931,ripe fruit,181,2022,Rubus,
1813012,35.219765,-89.849499,ripe fruit,190,2022,Rubus,
1813095,43.026309,-85.682784,ripe fruit,193,2022,Rubus,
1806142,41.20323,-81.364403,ripe fruit,271,2021,Rubus,
1810562,37.417095,-79.190759,ripe fruit,165,2022,Rubus,
1810563,37.403063,-79.23376,ripe fruit,165,2022,Rubus,
1810921,43.435638,-80.426332,ripe fruit,190,2021,Rubus,
1810928,43.01754565,-77.74729154,ripe fruit,184,2022,Rubus,
1810928,43.01754565,-77.74729154,ripe fruit,181,2022,Rubus,
1812581,42.307718,-85.112817,ripe fruit,178,2022,Rubus,
1812856,40.863599,-81.354682,ripe fruit,184,2022,Rubus,
1821415,42.301902,-85.130359,ripe fruit,246,2022,Rubus,
1813920,42.32252,-71.118974,ripe fruit,202,2022,Rubus,
1823106,32.04178,34.813339,ripe fruit,288,2022,Rubus,
1721832,44.707836,-93.175145,ripe fruit,191,2018,Rubus,
1721833,44.685471,-93.082003,ripe fruit,190,2018,Rubus,
1722016,41.777091,-87.595429,ripe fruit,182,2018,Rubus,
1722155,41.870232,-87.953818,ripe fruit,194,2018,Rubus,
1722997,42.265281,-87.889029,ripe fruit,207,2018,Rubus,
1755285,43.07293775,-89.59483242,ripe fruit,284,2018,Rubus,
1758362,43.140492,-77.617382,ripe fruit,194,2019,Rubus,
1758738,44.749768,-93.322121,ripe fruit,191,2019,Rubus,
1759562,37.34422911,-121.9354792,ripe fruit,235,2019,Rubus,
666945,41.91664143,-87.95243393,ripe fruit,192,2014,Rubus,
667090,44.11855665,-94.04881742,ripe fruit,198,2014,Rubus,
1064252,41.52379672,-90.62070898,ripe fruit,172,2015,Rubus,
666899,40.81601783,-77.87984848,ripe fruit,185,2014,Rubus,
1063719,43.41086592,-89.7231853,ripe fruit,197,2014,Rubus,
1063720,43.4128319,-89.7255376,ripe fruit,197,2014,Rubus,
1591235,41.760248,-81.283727,ripe fruit,175,2017,Rubus,
666969,43.44693871,-80.51190225,ripe fruit,193,2014,Rubus,
1590826,32.305104,-90.1981,ripe fruit,104,2017,Rubus,
1591441,42.697659,-84.276126,ripe fruit,180,2017,Rubus,
1591349,39.727593,-85.879585,ripe fruit,177,2017,Rubus,
1591351,39.727592,-85.879392,ripe fruit,177,2017,Rubus,
1591059,36.924309,-93.58665,ripe fruit,164,2017,Rubus,
