site_id,eventRemarks,YEAR,DAY,LON,LAT,genus,specificEpithet
20652,Harvest,2014,241,-3.15,40.6303,Ficus,
20652,Harvest,2015,228,-3.15,40.6303,Ficus,
20652,Harvest,2016,235,-3.15,40.6303,Ficus,
20448,Ripe fruit,1961,236,19.2833,42.4333,Ficus,
20448,Harvest,1961,240,19.2833,42.4333,Ficus,
20448,Ripe fruit,1962,226,19.2833,42.4333,Ficus,
20448,Harvest,1962,237,19.2833,42.4333,Ficus,
20448,Ripe fruit,1965,230,19.2833,42.4333,Ficus,
20448,Harvest,1965,236,19.2833,42.4333,Ficus,
20448,Harvest,1972,226,19.2833,42.4333,Ficus,
20448,Ripe fruit,1983,231,19.2833,42.4333,Ficus,
20448,Harvest,1983,237,19.2833,42.4333,Ficus,
20450,Ripe fruit,1968,162,19.0833,42.1,Ficus,
20450,Harvest,1968,167,19.0833,42.1,Ficus,
20450,Ripe fruit,1970,190,19.0833,42.1,Ficus,
20450,Harvest,1970,195,19.0833,42.1,Ficus,
20450,Ripe fruit,2014,130,19.0833,42.1,Ficus,
20450,Ripe fruit,2014,131,19.0833,42.1,Ficus,
20448,Ripe fruit,1962,173,19.2833,42.4333,Ficus,'Petrovaca'
20448,Ripe fruit,2008,228,19.2833,42.4333,Ficus,'Petrovaca'
20448,Harvest,2008,238,19.2833,42.4333,Ficus,'Petrovaca'
20448,Ripe fruit,2009,160,19.2833,42.4333,Ficus,'Petrovaca'
20448,Harvest,2009,231,19.2833,42.4333,Ficus,'Petrovaca'
20448,Harvest,2011,236,19.2833,42.4333,Ficus,'Petrovaca'
20450,Ripe fruit,1952,171,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1952,181,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1953,165,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1953,174,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1956,179,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1958,175,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1958,178,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1959,107,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1959,170,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1960,160,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1960,165,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1961,166,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1961,203,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1962,175,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1962,178,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1963,168,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1963,170,19.0833,42.1,Ficus,'Petrovaca'
20450,Ripe fruit,1964,173,19.0833,42.1,Ficus,'Petrovaca'
20450,Harvest,1964,175,19.0833,42.1,Ficus,'Petrovaca'
