DAY,YEAR,genus,specificEpithet,eventRemarks,LON,LAT,site_id
118,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
111,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
41,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
104,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
61,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
69,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
76,2023,Morus,rubra,Ripe fruits,-89.963806,30.033796,1
198,2022,Morus,rubra,Ripe fruits,-95.905975,41.203037,2
174,1952,Morus,sp,Ripe fruits,19.0833,42.1,3
127,2023,Morus,,Ripe fruits,-76.265717,36.957642,1767144
121,2023,Morus,macroura,Ripe fruits,34.80706242,32.06507473,1826531
121,2023,Morus,,Ripe fruits,-82.388446,34.846351,1826627
119,2023,Morus,,Ripe fruits,114.6208944,-28.79743147,1826470
111,2023,Morus,rubra,Ripe fruits,34.8212925,32.0683813,1826211
98,2023,Morus,,Ripe fruits,-90.08211,30.01113,1825857
97,2023,Morus,alba,Ripe fruits,-90.094024,30.001993,1825855
96,2023,Morus,,Ripe fruits,-90.094394,30.000831,1825856
94,2023,Morus,nigra,Ripe fruits,-81.095816,32.074908,1825702
74,2023,Morus,alba,Ripe fruits,-95.564723,29.655493,1825257
74,2023,Morus,nigra,Ripe fruits,-95.655182,29.66283,1825256
32,2023,Morus,,Ripe fruits,147.1184001,-41.39955481,1824670
339,2022,Morus,,Ripe fruits,144.9671294,-37.694853,1823989
336,2022,Morus,alba,Ripe fruits,144.962596,-37.69813119,1823957
336,2022,Morus,rubra,Ripe fruits,144.964392,-37.69737506,1823960
330,2022,Morus,nigra,Ripe fruits,144.994278,-37.771127,1823856
321,2022,Morus,nigra,Ripe fruits,150.9285095,-34.31213354,1823729
314,2022,Morus,nigra,Ripe fruits,151.013985,-33.903893,1826706
310,2022,Morus,nigra,Ripe fruits,151.1058954,-33.93213056,1823402
291,2022,Morus,nigra,Ripe fruits,151.7564862,-32.9049548,1823102
291,2022,Morus,nigra,Ripe fruits,151.7460028,-32.90418614,1823103
291,2022,Morus,nigra,Ripe fruits,-76.300449,37.018974,1823115
290,2022,Morus,,Ripe fruits,-1.403647,48.106494,1823045
290,2022,Morus,,Ripe fruits,-1.382892,48.105436,1823046
286,2022,Morus,nigra,Ripe fruits,151.1056206,-33.91953739,1822939
283,2022,Morus,,Ripe fruits,150.886584,-34.42864,1823082
268,2022,Morus,nigra,Ripe fruits,115.7744058,-32.0780207,1822311
267,2022,Morus,,Ripe fruits,-40.303911,-20.273811,1822468
264,2022,Morus,alba,Ripe fruits,-40.28616117,-20.27171574,1822228
264,2022,Morus,alba,Ripe fruits,-40.28616117,-20.27171574,1822227
