site_id,eventRemarks,YEAR,DAY,LON,LAT,genus,specificEpithet
19525,60,1984,183,15.8666,44.8,Rosmarinus,officinalis
19526,60,1984,191,17.45,44.05,Rosmarinus,officinalis
19528,60,1971,23,17.8,43.3333,Rosmarinus,officinalis
19528,60,1972,12,17.8,43.3333,Rosmarinus,officinalis
19528,60,1973,43,17.8,43.3333,Rosmarinus,officinalis
19528,60,1975,77,17.8,43.3333,Rosmarinus,officinalis
19528,60,1976,85,17.8,43.3333,Rosmarinus,officinalis
19528,60,1977,41,17.8,43.3333,Rosmarinus,officinalis
19528,60,1984,166,17.8,43.3333,Rosmarinus,officinalis
19528,60,1985,74,17.8,43.3333,Rosmarinus,officinalis
19528,60,2015,60,17.8,43.3333,Rosmarinus,officinalis
19529,60,1984,167,18.6833,44.5333,Rosmarinus,officinalis
20649,63,2015,89,-3.92028,38.9892,Rosmarinus,officinalis
19294,60,1962,60,16.45,43.167,Rosmarinus,officinalis
19294,60,1963,43,16.45,43.167,Rosmarinus,officinalis
19294,60,1964,59,16.45,43.167,Rosmarinus,officinalis
19294,60,1966,46,16.45,43.167,Rosmarinus,officinalis
19294,60,1967,56,16.45,43.167,Rosmarinus,officinalis
19294,60,1968,59,16.45,43.167,Rosmarinus,officinalis
19294,60,1970,65,16.45,43.167,Rosmarinus,officinalis
19294,60,1971,54,16.45,43.167,Rosmarinus,officinalis
19294,60,1972,51,16.45,43.167,Rosmarinus,officinalis
19294,60,1973,63,16.45,43.167,Rosmarinus,officinalis
19294,60,1974,54,16.45,43.167,Rosmarinus,officinalis
19294,60,1975,67,16.45,43.167,Rosmarinus,officinalis
19294,60,1976,62,16.45,43.167,Rosmarinus,officinalis
19294,60,1977,49,16.45,43.167,Rosmarinus,officinalis
19294,60,1978,58,16.45,43.167,Rosmarinus,officinalis
19294,60,1979,69,16.45,43.167,Rosmarinus,officinalis
19294,60,1980,63,16.45,43.167,Rosmarinus,officinalis
19294,60,1984,75,16.45,43.167,Rosmarinus,officinalis
19294,60,1985,83,16.45,43.167,Rosmarinus,officinalis
19294,60,1986,60,16.45,43.167,Rosmarinus,officinalis
19294,60,1987,54,16.45,43.167,Rosmarinus,officinalis
19294,60,1990,35,16.45,43.167,Rosmarinus,officinalis
19294,60,1991,60,16.45,43.167,Rosmarinus,officinalis
19294,60,1992,61,16.45,43.167,Rosmarinus,officinalis
19294,60,1993,46,16.45,43.167,Rosmarinus,officinalis
19294,60,1994,41,16.45,43.167,Rosmarinus,officinalis
19294,60,1995,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2000,48,16.45,43.167,Rosmarinus,officinalis
19294,60,2001,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2002,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2003,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2004,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2005,48,16.45,43.167,Rosmarinus,officinalis
19294,60,2006,51,16.45,43.167,Rosmarinus,officinalis
19294,60,2007,22,16.45,43.167,Rosmarinus,officinalis
19294,60,2008,15,16.45,43.167,Rosmarinus,officinalis
19294,60,2009,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2010,41,16.45,43.167,Rosmarinus,officinalis
19294,60,2011,30,16.45,43.167,Rosmarinus,officinalis
19294,60,2012,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2013,46,16.45,43.167,Rosmarinus,officinalis
19294,60,2015,64,16.45,43.167,Rosmarinus,officinalis
20450,60,1954,76,19.0833,42.1,Rosmarinus,officinalis
20450,60,1962,60,19.0833,42.1,Rosmarinus,officinalis
20450,60,1963,134,19.0833,42.1,Rosmarinus,officinalis
20450,60,1964,130,19.0833,42.1,Rosmarinus,officinalis
20450,60,1965,99,19.0833,42.1,Rosmarinus,officinalis
20450,60,1966,78,19.0833,42.1,Rosmarinus,officinalis
20450,60,1968,85,19.0833,42.1,Rosmarinus,officinalis
20450,60,1969,109,19.0833,42.1,Rosmarinus,officinalis
20450,60,1970,104,19.0833,42.1,Rosmarinus,officinalis
20450,60,1971,99,19.0833,42.1,Rosmarinus,officinalis
20450,60,1972,32,19.0833,42.1,Rosmarinus,officinalis
20450,60,1976,93,19.0833,42.1,Rosmarinus,officinalis
20450,60,1977,61,19.0833,42.1,Rosmarinus,officinalis
20450,65,1959,79,19.0833,42.1,Rosmarinus,officinalis
20450,65,1960,63,19.0833,42.1,Rosmarinus,officinalis
20450,65,1961,88,19.0833,42.1,Rosmarinus,officinalis
6869,60,2009,93,13.6333,45.9,Rosmarinus,officinalis
6869,60,2010,101,13.6333,45.9,Rosmarinus,officinalis
6869,60,2011,96,13.6333,45.9,Rosmarinus,officinalis
6869,60,2012,89,13.6333,45.9,Rosmarinus,officinalis
6871,60,1961,41,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1962,12,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1963,53,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1964,80,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1965,46,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1966,51,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1967,41,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1968,39,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1969,31,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1970,28,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1971,12,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1972,13,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1973,18,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1974,60,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1975,41,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1976,79,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1977,69,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1978,74,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1979,56,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1980,28,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1981,56,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1982,74,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1983,79,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1984,65,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1985,80,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1986,80,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1987,85,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1988,78,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1989,82,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1990,46,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1991,60,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1992,88,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1993,69,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1994,18,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1995,62,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1996,75,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1997,78,13.6167,45.4833,Rosmarinus,officinalis
6871,60,1998,46,13.6167,45.4833,Rosmarinus,officinalis
