type_id,count,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
14,3490,8,species,Apple,Malus pumila,Malus domestica
114,3413,6,genus,Apple,Malus,
48,2937,7,multispecies,Blackberry,Rubus,
92,2546,6,genus,Mulberry,Morus,
1,1784,7,multispecies,Plum,Prunus,
18,1565,8,species,Loquat,Eriobotrya japonica,
10,1513,8,species,Rosemary,Rosmarinus officinalis,
4,1470,8,species,Lemon,Citrus x limon,
445,1405,6,genus,Fig,Ficus,
15,1384,6,genus,Pear,Pyrus,
62,1378,7,multispecies,Cherry,Prunus,
96,1196,8,species,Black mulberry,Morus nigra,
3,1075,8,species,Orange,Citrus x sinensis,
20,1043,8,species,Common fig,Ficus carica,
111,1034,8,species,Black walnut,Juglans nigra,
115,926,6,genus,Serviceberry,Amelanchier,
93,866,8,species,Pecan,Carya illinoinensis,
16,862,6,genus,Grape,Vitis,
2194,849,7,multispecies,Crabapple,Malus,
52,838,8,species,Peach,Prunus persica,
73,805,6,genus,Walnut,Juglans,
418,787,8,species,Common mango,Mangifera indica,
5097,742,7,multispecies,Lemon,Citrus,
113,722,8,species,Cherry plum,Prunus cerasifera,Prunus pissardii
13,707,8,species,Pomegranate,Punica granatum,
59,689,8,species,Olive,Olea europaea,
246,646,8,species,American persimmon,Diospyros virginiana,
7,645,8,species,Avocado,Persea americana,
74,632,6,genus,Elderberry,Sambucus,
122,594,7,multispecies,Raspberry,Rubus,
97,539,8,species,White mulberry,Morus alba,Morus tatarica
116,463,8,species,Pawpaw,Asimina triloba,
120,446,6,genus,Hazel,Corylus,
79,419,8,species,Apricot,Prunus armeniaca,
5070,408,6,genus,Olive,Olea,
88,405,7,multispecies,Blueberry,Vaccinium,
70,390,6,genus,Chestnut,Castanea,
146,377,8,species,Ginkgo,Ginkgo biloba,Ginkgo
17,374,6,genus,Lavender,Lavandula,
5071,362,7,multispecies,Orange,Citrus,
12,357,7,multispecies,Persimmon,Diospyros,
296,345,8,species,Sweet cherry,Prunus avium,
82,342,6,genus,Rose,Rosa,
1825,330,8,species,Common dandelion,Taraxacum officinale,
19,321,8,species,Kumquat,Citrus japonica,"Fortunella japonica, Citrus margarita, Fortunella margarita, Citrus obovata, Fortunella obovata"
5,312,8,species,Grapefruit,Citrus x paradisi,
173,310,8,species,Red mulberry,Morus rubra,
388,309,8,species,Blackthorn,Prunus spinosa,
49,298,8,species,Feijoa,Acca sellowiana,Feijoa sellowiana
542,298,8,species,Wild garlic,Allium ursinum,
1386,296,6,genus,Mango,Mangifera,
322,291,8,species,Black elderberry,Sambucus nigra,
157,287,8,species,Garlic mustard,Alliaria petiolata,
56,285,6,genus,Prickly pear,Opuntia,
286,284,8,species,European pear,Pyrus communis,"Pyrus communis var. sativa, Pyrus sativa"
69,280,8,species,Quince,Cydonia oblonga,"Cydonia, Cydonia vulgaris"
112,278,8,species,Persian walnut,Juglans regia,
60,273,8,species,Strawberry tree,Arbutus unedo,
23,268,8,species,Mandarin,Citrus reticulata,
123,267,7,multispecies,Black raspberry,Rubus,
26,267,7,multispecies,Lime,Citrus,
172,265,6,genus,Hawthorn,Crataegus,
263,265,6,genus,Citrus,Citrus,
78,264,8,species,Passionfruit,Passiflora edulis,
441,261,8,species,European plum,Prunus domestica,
691,256,9,subspecies,Mirabelle plum,Prunus domestica subsp. syriaca,
285,252,6,genus,Stone fruit,Prunus,
363,247,8,species,Sweet chestnut,Castanea sativa,
629,245,8,species,Common grape,Vitis vinifera,
138,244,8,species,Eastern redbud,Cercis canadensis,
121,240,8,species,Sour cherry,Prunus cerasus,
72,238,6,genus,Oak,Quercus,
105,235,6,genus,Strawberry,Fragaria,
168,229,8,species,Black cherry,Prunus serotina,
710,217,8,species,American beech,Fagus grandifolia,
76,216,6,genus,Guava,Psidium,
99,214,6,genus,Mint,Mentha,
422,214,8,species,Common yarrow,Achillea millefolium,
4942,212,8,species,Blackberry,Rubus fruticosus,
75,207,7,multispecies,Banana,Musa,
294,207,8,species,Common hazel,Corylus avellana,
460,206,8,species,Coconut palm,Cocos nucifera,
692,204,8,species,Mayapple,Podophyllum peltatum,
57,201,8,species,Miner's lettuce,Claytonia perfoliata,
282,200,8,species,Eastern white pine,Pinus strobus,
142,198,8,species,White oak,Quercus alba,
2711,194,8,species,Himalayan blackberry,Rubus armeniacus,
186,189,8,species,Chokecherry,Prunus virginiana,
63,187,8,species,Fennel,Foeniculum vulgare,
232,186,8,species,Stinging nettle,Urtica dioica,
451,184,8,species,Pitanga,Eugenia uniflora,
191,180,8,species,Staghorn sumac,Rhus typhina,Rhus hirta
458,179,8,species,Common guava,Psidium guajava,
1426,178,8,species,Black raspberry,Rubus occidentalis,
234,176,0,polyphyletic,Fruit tree,Plantae,
110,172,8,species,Black locust,Robinia pseudoacacia,
248,172,8,species,Cornelian cherry dogwood,Cornus mas,
170,172,8,species,Japanese knotweed,Fallopia japonica,
1613,171,8,species,Bloodroot,Sanguinaria canadensis,
520,169,8,species,Dog rose,Rosa canina,
118,169,8,species,Kousa dogwood,Cornus kousa,Benthamidia kousa
68,161,8,species,Almond,Prunus amygdalus,"Prunus dulcis, Amygdalus communis, Amygdalus dulcis"
81,161,8,species,Bitter orange,Citrus x aurantium,
701,161,8,species,Wine raspberry,Rubus phoenicolasius,
124,154,8,species,Asian pear,Pyrus pyrifolia,
284,153,8,species,American plum,Prunus americana,
108,152,6,genus,Cattail,Typha,
917,151,8,species,Red maple,Acer rubrum,
