location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1761243,8,,1,441,8,species,European plum,Prunus domestica,
1761245,10,11,1,405,8,species,Common medlar,Mespilus germanica,"Mespilus, Crataegus germanica"
1761247,9,10,1,68,8,species,Almond,Prunus amygdalus,"Prunus dulcis, Amygdalus communis, Amygdalus dulcis"
1761292,10,11,1,60,8,species,Strawberry tree,Arbutus unedo,
1761362,9,10,1,363,8,species,Sweet chestnut,Castanea sativa,
1761612,10,,1,73,6,genus,Walnut,Juglans,
1761416,6,7,1,115,6,genus,Serviceberry,Amelanchier,
1761561,10,10,1,70,6,genus,Chestnut,Castanea,
1761562,9,10,1,4554,9,subspecies,European plum,Prunus domestica 'Mirabelle',
1761613,7,9,1,2523,6,genus,Rubus,Rubus,
1761662,9,10,1,388,8,species,Blackthorn,Prunus spinosa,
1761703,9,11,1,48,7,multispecies,Blackberry,Rubus,
1761705,4,6,1,115,6,genus,Serviceberry,Amelanchier,
1761747,11,12,1,18,8,species,Loquat,Eriobotrya japonica,
1761749,2,4,1,1,7,multispecies,Plum,Prunus,
1761750,12,1,1,18,8,species,Loquat,Eriobotrya japonica,
1761751,3,5,1,13,8,species,Pomegranate,Punica granatum,
1761797,7,8,1,16,6,genus,Grape,Vitis,
1761800,9,11,1,112,8,species,Persian walnut,Juglans regia,
1761801,9,11,1,112,8,species,Persian walnut,Juglans regia,
1761802,10,11,1,112,8,species,Persian walnut,Juglans regia,
1761804,9,11,1,112,8,species,Persian walnut,Juglans regia,
1761808,9,11,1,112,8,species,Persian walnut,Juglans regia,
1761810,9,11,1,112,8,species,Persian walnut,Juglans regia,
1761812,9,11,1,112,8,species,Persian walnut,Juglans regia,
1761814,8,10,1,114,6,genus,Apple,Malus,
1761815,8,10,1,114,6,genus,Apple,Malus,
1761816,5,6,1,296,8,species,Sweet cherry,Prunus avium,
1761818,5,6,1,296,8,species,Sweet cherry,Prunus avium,
1761820,5,6,1,296,8,species,Sweet cherry,Prunus avium,
1761857,8,10,1,15,6,genus,Pear,Pyrus,
1761860,9,11,1,294,8,species,Common hazel,Corylus avellana,
1761878,9,11,1,179,8,species,Bur oak,Quercus macrocarpa,
1761880,9,11,1,294,8,species,Common hazel,Corylus avellana,
1761964,5,7,1,2273,8,species,Juneberry,Amelanchier lamarckii,
1761966,11,12,1,18,8,species,Loquat,Eriobotrya japonica,
1762077,11,1,1,1762,8,species,Lilly pilly,Syzygium smithii,
1761910,10,12,1,388,8,species,Blackthorn,Prunus spinosa,
1761620,5,,1,62,7,multispecies,Cherry,Prunus,
1761444,10,11,1,388,8,species,Blackthorn,Prunus spinosa,
1761342,10,11,1,2557,8,species,Bee-bee tree,Tetradium daniellii,
1761298,9,10,1,114,6,genus,Apple,Malus,
1764198,9,10,1,114,6,genus,Apple,Malus,
1762634,3,6,1,18,8,species,Loquat,Eriobotrya japonica,
1763080,11,,1,114,6,genus,Apple,Malus,
1762620,10,,1,73,6,genus,Walnut,Juglans,
1762373,12,2,1,5,8,species,Grapefruit,Citrus x paradisi,
1719834,7,9,3,114,6,genus,Apple,Malus,
1719834,7,9,3,48,7,multispecies,Blackberry,Rubus,
1719834,7,9,3,122,7,multispecies,Raspberry,Rubus,
1765374,7,8,1,48,7,multispecies,Blackberry,Rubus,
1764607,5,7,1,74,6,genus,Elderberry,Sambucus,
1764591,9,0,1,2640,8,species,Silver buffaloberry,Shepherdia argentea,
1762699,6,8,1,96,8,species,Black mulberry,Morus nigra,
1764177,7,10,1,48,7,multispecies,Blackberry,Rubus,
1764183,1,12,1,10,8,species,Rosemary,Rosmarinus officinalis,
1764189,5,6,1,115,6,genus,Serviceberry,Amelanchier,
1762415,8,9,1,147,8,species,Sassafras,Sassafras albidum,
1764397,3,5,1,542,8,species,Wild garlic,Allium ursinum,
1764398,2,6,1,1825,8,species,Common dandelion,Taraxacum officinale,
1764401,4,7,1,48,7,multispecies,Blackberry,Rubus,
1721867,7,,1,441,8,species,European plum,Prunus domestica,
1764389,5,,1,4526,9,subspecies,Peach,Prunus persica 'Amsden',
1764395,3,5,1,542,8,species,Wild garlic,Allium ursinum,
1764421,4,6,1,598,8,species,Common plantain,Plantago major,
1764412,8,9,1,5163,9,subspecies,Reliance peach,Prunus persica 'Reliance',
1516375,8,9,3,124,8,species,Asian pear,Pyrus pyrifolia,
1516375,8,9,3,286,8,species,European pear,Pyrus communis,"Pyrus communis var. sativa, Pyrus sativa"
1516375,8,9,3,52,8,species,Peach,Prunus persica,
1764455,5,,2,615,8,species,Black mustard,Brassica nigra,
1764455,5,,2,74,6,genus,Elderberry,Sambucus,
1764456,5,,1,600,8,species,Wild rocket,Diplotaxis tenuifolia,
1764457,5,,2,4691,8,species,Ox-eye daisy,Leucanthemum vulgare,
1764457,5,,2,615,8,species,Black mustard,Brassica nigra,
1764451,7,9,1,1,7,multispecies,Plum,Prunus,
1764454,5,,1,49,8,species,Feijoa,Acca sellowiana,Feijoa sellowiana
1764462,4,,1,486,8,species,Three-cornered leek,Allium triquetrum,
1764458,8,,1,1,7,multispecies,Plum,Prunus,
1764470,7,8,1,48,7,multispecies,Blackberry,Rubus,
1764473,4,7,1,96,8,species,Black mulberry,Morus nigra,
1764482,4,11,1,173,8,species,Red mulberry,Morus rubra,
1764489,5,6,1,115,6,genus,Serviceberry,Amelanchier,
1764490,5,6,1,115,6,genus,Serviceberry,Amelanchier,
1764491,5,6,1,115,6,genus,Serviceberry,Amelanchier,
1764500,7,8,1,56,6,genus,Prickly pear,Opuntia,
